date,24 High (USD)
2009 Nov 15,0
2009 Nov 17,0
2009 Nov 19,0
2009 Nov 21,0
2009 Nov 23,0
2009 Nov 25,0
2009 Nov 27,0
2009 Nov 29,0
2009 Dec 1,0
2009 Dec 3,0
2009 Dec 5,0
2009 Dec 7,0
2009 Dec 9,0
2009 Dec 11,0
2009 Dec 13,0
2009 Dec 15,0
2009 Dec 17,0
2009 Dec 19,0
2009 Dec 21,0
2009 Dec 23,0
2009 Dec 25,0
2009 Dec 27,0
2009 Dec 29,0
2009 Dec 31,0
2010 Jan 2,0
2010 Jan 4,0
2010 Jan 6,0
2010 Jan 8,0
2010 Jan 10,0
2010 Jan 12,0
2010 Jan 14,0
2010 Jan 16,0
2010 Jan 18,0
2010 Jan 20,0
2010 Jan 22,0
2010 Jan 24,0
2010 Jan 26,0
2010 Jan 28,0
2010 Jan 30,0
2010 Feb 1,0
2010 Feb 3,0
2010 Feb 5,0
2010 Feb 7,0
2010 Feb 9,0
2010 Feb 11,0
2010 Feb 13,0
2010 Feb 15,0
2010 Feb 17,0
2010 Feb 19,0
2010 Feb 21,0
2010 Feb 23,0
2010 Feb 25,0
2010 Feb 27,0
2010 Mar 1,0
2010 Mar 3,0
2010 Mar 5,0
2010 Mar 7,0
2010 Mar 9,0
2010 Mar 11,0
2010 Mar 13,0
2010 Mar 15,0
2010 Mar 17,0
2010 Mar 19,0
2010 Mar 21,0
2010 Mar 23,0
2010 Mar 25,0
2010 Mar 27,0
2010 Mar 29,0
2010 Mar 31,0
2010 Apr 2,0
2010 Apr 4,0
2010 Apr 6,0
2010 Apr 8,0
2010 Apr 10,0
2010 Apr 12,0
2010 Apr 14,0
2010 Apr 16,0
2010 Apr 18,0
2010 Apr 20,0
2010 Apr 22,0
2010 Apr 24,0
2010 Apr 26,0
2010 Apr 28,0
2010 Apr 30,0
2010 May 2,0
2010 May 4,0
2010 May 6,0
2010 May 8,0
2010 May 10,0
2010 May 12,0
2010 May 14,0
2010 May 16,0
2010 May 18,0
2010 May 20,0
2010 May 22,0
2010 May 24,0
2010 May 26,0
2010 May 28,0
2010 May 30,0
2010 Jun 1,0
2010 Jun 3,0
2010 Jun 5,0
2010 Jun 7,0
2010 Jun 9,0
2010 Jun 11,0
2010 Jun 13,0
2010 Jun 15,0
2010 Jun 17,0
2010 Jun 19,0
2010 Jun 21,0
2010 Jun 23,0
2010 Jun 25,0
2010 Jun 27,0
2010 Jun 29,0
2010 Jul 1,0
2010 Jul 3,0
2010 Jul 5,0
2010 Jul 7,0
2010 Jul 9,0
2010 Jul 11,0
2010 Jul 13,0
2010 Jul 15,0
2010 Jul 17,0
2010 Jul 19,0
2010 Jul 21,0
2010 Jul 23,0
2010 Jul 25,0
2010 Jul 27,0
2010 Jul 29,0
2010 Jul 31,0
2010 Aug 2,0
2010 Aug 4,0
2010 Aug 6,0
2010 Aug 8,0
2010 Aug 10,0
2010 Aug 12,0
2010 Aug 14,0
2010 Aug 16,0
2010 Aug 18,0.074
2010 Aug 20,0.0667
2010 Aug 22,0.0664
2010 Aug 24,0.066889
2010 Aug 26,0.066499
2010 Aug 28,0.065
2010 Aug 30,0.069
2010 Sep 1,0.0649
2010 Sep 3,0.0634
2010 Sep 5,0.0629
2010 Sep 7,0.06185
2010 Sep 9,0.0624
2010 Sep 11,0.062
2010 Sep 13,0.06201
2010 Sep 15,0.175
2010 Sep 17,0.0609
2010 Sep 19,0.062599
2010 Sep 21,0.0633
2010 Sep 23,0.063
2010 Sep 25,0.0624
2010 Sep 27,0.062206
2010 Sep 29,0.06219
2010 Oct 1,0.061999
2010 Oct 3,0.0614
2010 Oct 5,0.06301
2010 Oct 7,0.0638
2010 Oct 9,0.12001
2010 Oct 11,0.1301
2010 Oct 13,0.095
2010 Oct 15,0.119
2010 Oct 17,0.1045
2010 Oct 19,0.1024
2010 Oct 21,0.109
2010 Oct 23,0.10901
2010 Oct 25,0.15
2010 Oct 27,0.19
2010 Oct 29,0.191
2010 Oct 31,0.199
2010 Nov 2,0.1955
2010 Nov 4,0.23601
2010 Nov 6,0.29
2010 Nov 8,0.37
2010 Nov 10,0.2667
2010 Nov 12,0.251
2010 Nov 14,0.299
2010 Nov 16,0.2827
2010 Nov 18,0.289999
2010 Nov 20,0.289
2010 Nov 22,0.282
2010 Nov 24,0.28299
2010 Nov 26,0.289
2010 Nov 28,0.28461
2010 Nov 30,0.275
2010 Dec 2,0.25
2010 Dec 4,0.2589
2010 Dec 6,0.225
2010 Dec 8,0.2477
2010 Dec 10,0.204
2010 Dec 12,0.228
2010 Dec 14,0.23
2010 Dec 16,0.2459
2010 Dec 18,0.249
2010 Dec 20,0.275
2010 Dec 22,0.267
2010 Dec 24,0.25
2010 Dec 26,0.269999
2010 Dec 28,0.28
2010 Dec 30,0.299999
2011 Jan 1,0.299998
2011 Jan 3,0.299998
2011 Jan 5,0.298998
2011 Jan 7,0.322
2011 Jan 9,0.322998
2011 Jan 11,0.329
2011 Jan 13,0.405
2011 Jan 15,0.4
2011 Jan 17,0.4
2011 Jan 19,0.3401
2011 Jan 21,0.44
2011 Jan 23,0.4443
2011 Jan 25,0.425
2011 Jan 27,0.4174
2011 Jan 29,0.446
2011 Jan 31,0.5
2011 Feb 2,0.840099
2011 Feb 4,0.88
2011 Feb 6,0.92
2011 Feb 8,0.9
2011 Feb 10,1.1
2011 Feb 12,1.0899
2011 Feb 14,1.08
2011 Feb 16,1.05019
2011 Feb 18,1.05019
2011 Feb 20,0.954896
2011 Feb 22,0.869499
2011 Feb 24,0.9499
2011 Feb 26,0.988567
2011 Feb 28,0.949231
2011 Mar 2,0.9498
2011 Mar 4,0.9392
2011 Mar 6,0.910445
2011 Mar 8,0.9072
2011 Mar 10,0.87
2011 Mar 12,0.9197
2011 Mar 14,0.9
2011 Mar 16,0.89
2011 Mar 18,0.850617
2011 Mar 20,0.79
2011 Mar 22,0.799646
2011 Mar 24,0.9
2011 Mar 26,0.905
2011 Mar 28,0.8575
2011 Mar 30,0.795
2011 Apr 1,0.79997
2011 Apr 3,0.7998
2011 Apr 5,0.71
2011 Apr 7,0.7677
2011 Apr 9,0.7676
2011 Apr 11,0.781
2011 Apr 13,1
2011 Apr 15,1.08999
2011 Apr 17,1.085
2011 Apr 19,1.19
2011 Apr 21,1.1979
2011 Apr 23,1.549
2011 Apr 25,1.701
2011 Apr 27,1.95
2011 Apr 29,2.7
2011 May 1,4.09
2011 May 3,3.49
2011 May 5,3.5
2011 May 7,3.7
2011 May 9,3.937
2011 May 11,6.065
2011 May 13,8.45
2011 May 15,8.55
2011 May 17,8.38901
2011 May 19,7.34
2011 May 21,6.6036
2011 May 23,7.45
2011 May 25,7.51
2011 May 27,8.92
2011 May 29,8.4992
2011 May 31,9.4998
2011 Jun 2,10.57
2011 Jun 4,17.41
2011 Jun 6,19.23
2011 Jun 8,31.9099
2011 Jun 10,35
2011 Jun 12,24.99
2011 Jun 14,20.99
2011 Jun 16,19.96
2011 Jun 18,17.2
2011 Jun 20,17.35
2011 Jun 22,15.05
2011 Jun 24,16.7501
2011 Jun 26,17.51001
2011 Jun 28,17.52
2011 Jun 30,17.5
2011 Jul 2,16.49
2011 Jul 4,15.85
2011 Jul 6,16.5
2011 Jul 8,15.64276
2011 Jul 10,15.68
2011 Jul 12,14.63988
2011 Jul 14,14.1
2011 Jul 16,14.1
2011 Jul 18,13.6901
2011 Jul 20,14.04
2011 Jul 22,13.9389
2011 Jul 24,13.979999
2011 Jul 26,14.4
2011 Jul 28,14
2011 Jul 30,13.8
2011 Aug 1,13.5501
2011 Aug 3,13.1
2011 Aug 5,11.55
2011 Aug 7,9.8
2011 Aug 9,12.1
2011 Aug 11,10.4959
2011 Aug 13,10.05
2011 Aug 15,11.89
2011 Aug 17,11.3
2011 Aug 19,11.81
2011 Aug 21,11.59
2011 Aug 23,11.49
2011 Aug 25,10.96554
2011 Aug 27,9.11
2011 Aug 29,9.4811
2011 Aug 31,9
2011 Sep 2,8.4989
2011 Sep 4,8.5939999988
2011 Sep 6,7.65713
2011 Sep 8,7.31509
2011 Sep 10,6.2089200002
2011 Sep 12,7.081
2011 Sep 14,5.9900000009
2011 Sep 16,5.23
2011 Sep 18,5
2011 Sep 20,6.795
2011 Sep 22,5.83001
2011 Sep 24,5.66
2011 Sep 26,5.46014
2011 Sep 28,4.989
2011 Sep 30,5.35
2011 Oct 2,5.16
2011 Oct 4,5.03
2011 Oct 6,4.93
2011 Oct 8,4.594
2011 Oct 10,4.25937
2011 Oct 12,4.20612
2011 Oct 14,4.11455
2011 Oct 16,3.9009000002
2011 Oct 18,2.9
2011 Oct 20,2.42
2011 Oct 22,3.3
2011 Oct 24,3.2
2011 Oct 26,2.876
2011 Oct 28,3.255
2011 Oct 30,3.65026
2011 Nov 1,3.35
2011 Nov 3,3.299
2011 Nov 5,3.21
2011 Nov 7,3.0289
2011 Nov 9,3.114
2011 Nov 11,3
2011 Nov 13,3.099
2011 Nov 15,2.69
2011 Nov 17,2.60031
2011 Nov 19,2.3
2011 Nov 21,2.29
2011 Nov 23,2.38
2011 Nov 25,2.56
2011 Nov 27,2.4965
2011 Nov 29,2.981
2011 Dec 1,3.14
2011 Dec 3,3.12999
2011 Dec 5,2.93
2011 Dec 7,3.082
2011 Dec 9,3.039
2011 Dec 11,3.38
2011 Dec 13,3.3
2011 Dec 15,3.1933
2011 Dec 17,3.23
2011 Dec 19,3.70036
2011 Dec 21,4.11
2011 Dec 23,3.95
2011 Dec 25,4.3897
2011 Dec 27,4.06
2011 Dec 29,4.33
2011 Dec 31,4.995
2012 Jan 2,5.4999
2012 Jan 4,5.6063
2012 Jan 6,7.22
2012 Jan 8,7.2
2012 Jan 10,6.89
2012 Jan 12,6.997
2012 Jan 14,6.75
2012 Jan 16,7.18888
2012 Jan 18,6.95
2012 Jan 20,6.58
2012 Jan 22,6.39
2012 Jan 24,6.515
2012 Jan 26,6.2
2012 Jan 28,5.74815
2012 Jan 30,5.6
2012 Feb 1,5.638
2012 Feb 3,6.148
2012 Feb 5,5.9625
2012 Feb 7,5.70999
2012 Feb 9,5.8
2012 Feb 11,6
2012 Feb 13,5.72
2012 Feb 15,4.88
2012 Feb 17,4.76998
2012 Feb 19,4.33333
2012 Feb 21,4.4354
2012 Feb 23,4.92481
2012 Feb 25,5.07
2012 Feb 27,5.1
2012 Feb 29,4.9
2012 Mar 2,4.98888
2012 Mar 4,4.9
2012 Mar 6,5.05
2012 Mar 8,5
2012 Mar 10,4.94
2012 Mar 12,4.95915
2012 Mar 14,5.4444
2012 Mar 16,5.4
2012 Mar 18,5.37998
2012 Mar 20,4.98
2012 Mar 22,4.88
2012 Mar 24,4.74896
2012 Mar 26,4.73793
2012 Mar 28,4.84592
2012 Mar 30,4.83
2012 Apr 1,4.929
2012 Apr 3,5.01
2012 Apr 5,4.94486
2012 Apr 7,4.98
2012 Apr 9,4.8
2012 Apr 11,4.8941
2012 Apr 13,4.94464
2012 Apr 15,4.98389
2012 Apr 17,5.02207
2012 Apr 19,5.19
2012 Apr 21,5.48
2012 Apr 23,5.21799
2012 Apr 25,5.16
2012 Apr 27,5.1372
2012 Apr 29,5.0184
2012 May 1,5
2012 May 3,5.184
2012 May 5,5.1495
2012 May 7,5.0947
2012 May 9,5.09609
2012 May 11,5.03188
2012 May 13,4.99888
2012 May 15,5.09
2012 May 17,5.1345
2012 May 19,5.14291
2012 May 21,5.1475
2012 May 23,5.16
2012 May 25,5.15
2012 May 27,5.148
2012 May 29,5.15889
2012 May 31,5.19
2012 Jun 2,5.279
2012 Jun 4,5.2785
2012 Jun 6,5.47
2012 Jun 8,5.66
2012 Jun 10,5.62
2012 Jun 12,5.7
2012 Jun 14,5.95
2012 Jun 16,6.599
2012 Jun 18,6.4668
2012 Jun 20,6.64999
2012 Jun 22,6.79962
2012 Jun 24,6.5915
2012 Jun 26,6.4514
2012 Jun 28,6.66897
2012 Jun 30,6.693
2012 Jul 2,6.75
2012 Jul 4,6.55
2012 Jul 6,6.73449
2012 Jul 8,6.87
2012 Jul 10,7.239
2012 Jul 12,7.32
2012 Jul 14,7.68891
2012 Jul 16,8.2899
2012 Jul 18,9.39899
2012 Jul 20,9.23355
2012 Jul 22,9
2012 Jul 24,8.96
2012 Jul 26,8.9
2012 Jul 28,8.93
2012 Jul 30,9.15
2012 Aug 1,9.54
2012 Aug 3,11.1188
2012 Aug 5,11.1869
2012 Aug 7,11.04
2012 Aug 9,12
2012 Aug 11,11.59788
2012 Aug 13,11.86999
2012 Aug 15,12.67
2012 Aug 17,15.4
2012 Aug 19,12
2012 Aug 21,10.29999
2012 Aug 23,10.25
2012 Aug 25,10.25
2012 Aug 27,12.14999
2012 Aug 29,11.20999
2012 Aug 31,10.8359
2012 Sep 2,10.18999
2012 Sep 4,10.5934
2012 Sep 6,11.17
2012 Sep 8,11.21
2012 Sep 10,11.127
2012 Sep 12,11.3789
2012 Sep 14,11.75
2012 Sep 16,11.99
2012 Sep 18,12.09
2012 Sep 20,12.68666
2012 Sep 22,12.4433
2012 Sep 24,12.29888
2012 Sep 26,12.28
2012 Sep 28,12.444
2012 Sep 30,12.47499
2012 Oct 2,12.88
2012 Oct 4,13.0899
2012 Oct 6,12.89999
2012 Oct 8,12.08
2012 Oct 10,12.15
2012 Oct 12,12.15
2012 Oct 14,12
2012 Oct 16,11.99
2012 Oct 18,11.95998
2012 Oct 20,11.85
2012 Oct 22,11.81
2012 Oct 24,11.82
2012 Oct 26,11.09988
2012 Oct 28,10.61
2012 Oct 30,10.85
2012 Nov 1,11.279
2012 Nov 3,10.60097
2012 Nov 5,10.9
2012 Nov 7,11.21603
2012 Nov 9,11.07
2012 Nov 11,10.939
2012 Nov 13,11.129
2012 Nov 15,11.114
2012 Nov 17,11.8
2012 Nov 19,11.79998
2012 Nov 21,11.784
2012 Nov 23,12.43
2012 Nov 25,12.6
2012 Nov 27,12.52999
2012 Nov 29,12.599
2012 Dec 1,12.68778
2012 Dec 3,12.67901
2012 Dec 5,13.5
2012 Dec 7,13.68
2012 Dec 9,13.53
2012 Dec 11,13.63999
2012 Dec 13,13.79989
2012 Dec 15,13.7722
2012 Dec 17,13.498
2012 Dec 19,13.399
2012 Dec 21,13.6475
2012 Dec 23,13.48547
2012 Dec 25,13.45
2012 Dec 27,13.47
2012 Dec 29,13.67
2012 Dec 31,13.59
2013 Jan 2,13.4
2013 Jan 4,13.48986
2013 Jan 6,13.52999
2013 Jan 8,13.83
2013 Jan 10,14.32
2013 Jan 12,14.34999
2013 Jan 14,14.3
2013 Jan 16,14.689
2013 Jan 18,15.985
2013 Jan 20,15.89
2013 Jan 22,17.59
2013 Jan 24,19.18999
2013 Jan 26,17.61926
2013 Jan 28,18.45
2013 Jan 30,19.7
2013 Feb 1,21.3
2013 Feb 3,20.68
2013 Feb 5,20.79
2013 Feb 7,22.15
2013 Feb 9,23.69997
2013 Feb 11,24.1955
2013 Feb 13,26.09999
2013 Feb 15,26.99898
2013 Feb 17,25.6083
2013 Feb 19,28.78999
2013 Feb 21,29.80012
2013 Feb 23,29.27998
2013 Feb 25,30.25001
2013 Feb 27,31.40181
2013 Mar 1,34.87799
2013 Mar 3,34.10007
2013 Mar 5,40.04
2013 Mar 7,42.49271
2013 Mar 9,46.01112
2013 Mar 11,47.7397
2013 Mar 13,46.79999
2013 Mar 15,47.25005
2013 Mar 17,47.4419
2013 Mar 19,57.76
2013 Mar 21,73.8
2013 Mar 23,63
2013 Mar 25,73.88798
2013 Mar 27,88.9
2013 Mar 29,89.05
2013 Mar 31,92.50001
2013 Apr 2,108.73
2013 Apr 4,131.99899
2013 Apr 6,142.49765
2013 Apr 8,184
2013 Apr 10,198
2013 Apr 12,76.488
2013 Apr 14,91
2013 Apr 16,91
2013 Apr 18,96.5
2013 Apr 20,123.86
2013 Apr 22,123.515
2013 Apr 24,153.20019
2013 Apr 26,135.601
2013 Apr 28,135.98999
2013 Apr 30,139.109
2013 May 2,105.00003
2013 May 4,111.98979
2013 May 6,120.94999
2013 May 8,113.95001
2013 May 10,117.68
2013 May 12,114.32
2013 May 14,119
2013 May 16,115.09024
2013 May 18,123.74995
2013 May 20,122.65001
2013 May 22,122.64
2013 May 24,131.5
2013 May 26,134.04701
2013 May 28,128.321
2013 May 30,130.99589
2013 Jun 1,129.19945
2013 Jun 3,120.00002
2013 Jun 5,122.4051
2013 Jun 7,110.29501
2013 Jun 9,98.47045
2013 Jun 11,108
2013 Jun 13,109
2013 Jun 15,101.96998
2013 Jun 17,100.52521
2013 Jun 19,107.835
2013 Jun 21,111
2013 Jun 23,107.68389
2013 Jun 25,103.86665
2013 Jun 27,102.79001
2013 Jun 29,95.85301
2013 Jul 1,90.998
2013 Jul 3,82.8
2013 Jul 5,67.85844
2013 Jul 7,70.942
2013 Jul 9,76.32791
2013 Jul 11,87.15
2013 Jul 13,95.995
2013 Jul 15,98.37516
2013 Jul 17,97.97
2013 Jul 19,93.41082
2013 Jul 21,88.93999
2013 Jul 23,95.396
2013 Jul 25,96.2
2013 Jul 27,95.20461
2013 Jul 29,101.04202
2013 Jul 31,104.95555
2013 Aug 2,105.5
2013 Aug 4,104.67459
2013 Aug 6,106.88378
2013 Aug 8,101.9
2013 Aug 10,102.61802
2013 Aug 12,104.99498
2013 Aug 14,100.03
2013 Aug 16,98.51
2013 Aug 18,99.02
2013 Aug 20,104.59
2013 Aug 22,111.01
2013 Aug 24,108.79
2013 Aug 26,111.8
2013 Aug 28,119.25
2013 Aug 30,124.79
2013 Sep 1,130.82
2013 Sep 3,130.45
2013 Sep 5,124.51
2013 Sep 7,120.15
2013 Sep 9,121.66
2013 Sep 11,124.1
2013 Sep 13,128.29
2013 Sep 15,125.46
2013 Sep 17,127.56
2013 Sep 19,124.1
2013 Sep 21,123.5
2013 Sep 23,123.02
2013 Sep 25,124.18
2013 Sep 27,125.6
2013 Sep 29,128.1
